Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
RENAULT Laguna 2001,2001,Casablanca,Particulier,Seconde,1.500.000 km,Diesel,Manuelle,7 cv ,90 ch ,40.000 DH
PEUGEOT Rifter 2022,2022,Marrakech,Particulier,Première,90.000 km,Diesel,Automatique,6 cv ,92 ch ,190.000 DH
SEAT Arona 2023,2023,Safi,Particulier,Seconde,15.000 km,Diesel,Manuelle,6 cv ,95 ch ,230.000 DH
HONDA Civic 2012,2012,Casablanca,Particulier,Seconde,137.000 km,Essence,Manuelle,- ,- ,94.000 DH
DACIA Sandero 2011,2011,Casablanca,Particulier,Première,180.000 km,Diesel,Manuelle,6 cv ,85 ch ,60.000 DH
RENAULT Mégane 2022,2022,Tanger,Particulier,Première,12.000 km,Diesel,Manuelle,6 cv ,115 ch ,235.000 DH
TOYOTA C-HR 2018,2018,Casablanca,Particulier,Première,46.000 km,Hybride,Automatique,10 cv ,122 ch ,210.000 DH
SKODA Kodiaq 2020,2020,Casablanca,Particulier,Première,1.000 km,Diesel,Manuelle,8 cv ,150 ch ,320.000 DH
MASERATI Ghibli 2015,2015,Casablanca,Particulier,Seconde,83.000 km,Diesel,Automatique,- ,- ,300.000 DH
AUDI A3 Berline 2015,2015,Marrakech,Particulier,Première,200.000 km,Diesel,Automatique,6 cv ,105 ch ,165.000 DH
CITROEN C4 Picasso 2014,2014,Casablanca,Particulier,Seconde,160.000 km,Diesel,Manuelle,6 cv ,- ,125.000 DH
FORD Fusion 2015,2015,Dakhla,Particulier,Seconde,170.000 km,Diesel,Automatique,8 cv ,150 ch ,210.000 DH
MINI 3 portes 2022,2022,Settat,Particulier,Première,2.300 km,Essence,Automatique,9 cv ,102 ch ,260.000 DH
FORD Fiesta 2016,2016,Marrakech,Particulier,Première,139.000 km,Diesel,Manuelle,6 cv ,6 ch ,110.000 DH
DACIA Sandero 2022,2022,Fès,Particulier,Première,11.000 km,Diesel,Manuelle,6 cv ,102 ch ,155.000 DH
AUDI A3 Sportback 2022,2022,Casablanca,Particulier,Seconde,21.000 km,Diesel,Automatique,8 cv ,200 ch ,610.000 DH
PEUGEOT 308 2017,2017,Tanger,Particulier,Seconde,67.000 km,Diesel,Automatique,6 cv ,92 ch ,137.000 DH
VOLKSWAGEN Polo 2017,2017,Casablanca,Particulier,Première,102.327 km,Diesel,Manuelle,6 cv ,75 ch ,135.000 DH
AUDI Q5 2013,2013,Casablanca,Particulier,Seconde,240.000 km,Diesel,Automatique,12 cv ,313 ch ,245.000 DH
TOYOTA Auris 2014,2014,Casablanca,Particulier,Seconde,199.000 km,Diesel,Manuelle,6 cv ,90 ch ,116.000 DH
CITROEN C4 Cactus 2019,2019,Tanger,Particulier,Première,21.000 km,Diesel,Manuelle,6 cv ,100 ch ,170.000 DH
PEUGEOT 208 2018,2018,Salé,Particulier,Première,86.000 km,Diesel,Manuelle,6 cv ,75 ch ,80.000 DH
TOYOTA C-HR 2022,2022,Oujda,Particulier,Première,39.900 km,Hybride,Automatique,10 cv ,122 ch ,230.000 DH
CHERY Tiggo 2008,2008,Fès,Particulier,Seconde,250.000 km,Essence,Automatique,- ,- ,45.000 DH
HYUNDAI Elantra 2017,2017,Casablanca,Particulier,Première,132.000 km,Diesel,Manuelle,6 cv ,136 ch ,145.000 DH
SEAT Toledo 2013,2013,Rabat,Particulier,Seconde,177.000 km,Diesel,Manuelle,6 cv ,90 ch ,105.000 DH
HYUNDAI Tucson 2019,2019,Khénifra,Particulier,Première,59.000 km,Diesel,Automatique,6 cv ,136 ch ,260.000 DH
RENAULT Mégane Sedan 2018,2018,Errachidia,Particulier,Première,155.000 km,Diesel,Manuelle,6 cv ,110 ch ,153.000 DH
VOLKSWAGEN Golf 2017,2017,Agadir,Particulier,Première,175.000 km,Diesel,Automatique,8 cv ,184 ch ,320.000 DH
TOYOTA Corolla Prestige 2019,2019,Laayoune,Particulier,Première,115.000 km,Hybride,Automatique,9 cv ,122 ch ,178.000 DH
NISSAN Qashqai 2012,2012,Casablanca,Particulier,Première,290.000 km,Diesel,Manuelle,- ,- ,115.000 DH
HYUNDAI Accent 2008,2008,Casablanca,Particulier,Seconde,210.000 km,Essence,Automatique,8 cv ,- ,43.000 DH
LAND ROVER Range Rover Sport 2010,2010,Casablanca,Particulier,Seconde,198.000 km,Diesel,Automatique,12 cv ,240 ch ,135.000 DH
KIA Seltos 2022,2022,Agadir,Particulier,Première,15.000 km,Diesel,Manuelle,6 cv ,115 ch ,250.000 DH
CITROEN C3 2018,2018,Oujda,Particulier,Seconde,60.000 km,Diesel,Manuelle,6 cv ,92 ch ,128.000 DH
RENAULT Captur 2022,2022,Salé,Particulier,Première,8.900 km,Essence,Automatique,8 cv ,130 ch ,230.000 DH
FORD Fiesta 2018,2018,Mohammadia,Particulier,Première,92.580 km,Diesel,Manuelle,6 cv ,- ,115.000 DH
FIAT 500 2018,2018,Casablanca,Particulier,Première,16.646 km,Essence,Automatique,7 cv ,69 ch ,122.000 DH
TOYOTA Corolla Berline 2018,2018,Fès,Particulier,Seconde,80.000 km,Diesel,Manuelle,6 cv ,90 ch ,140.000 DH
FORD Fiesta 2018,2018,Casablanca,Particulier,Première,91.000 km,Diesel,Manuelle,6 cv ,85 ch ,115.000 DH
VOLVO S60 2017,2017,Casablanca,Particulier,Seconde,140.000 km,Diesel,Automatique,8 cv ,120 ch ,140.000 DH
VOLKSWAGEN Polo 2011,2011,Casablanca,Particulier,Première,76.000 km,Essence,Manuelle,- ,- ,77.000 DH
SKODA Kodiaq 2020,2020,Mohammadia,Particulier,Première,69.000 km,Diesel,Automatique,8 cv ,150 ch ,305.000 DH
VOLKSWAGEN Caddy 2016,2016,Casablanca,Particulier,Première,122.000 km,Diesel,Manuelle,7 cv ,122 ch ,89.000 DH
CITROEN C3 2010,2010,Rabat,Particulier,Seconde,220.000 km,Essence,Manuelle,6 cv ,110 ch ,50.000 DH
CITROEN C5 2011,2011,Rabat,Particulier,Seconde,350.000 km,Diesel,Manuelle,6 cv ,110 ch ,90.000 DH
CITROEN C3 2006,2006,Taourirt,Particulier,Seconde,208.000 km,Diesel,Manuelle,6 cv ,70 ch ,55.000 DH
RENAULT Mégane 2010,2010,Laayoune,Particulier,Première,123.000 km,Diesel,Manuelle,6 cv ,105 ch ,60.000 DH
MERCEDES Classe E 2014,2014,Marrakech,Particulier,Seconde,218.000 km,Diesel,Automatique,9 cv ,170 ch ,220.000 DH
DS DS5 2019,2019,Tétouan,Particulier,Seconde,57.000 km,Diesel,Automatique,9 cv ,180 ch ,220.000 DH
AUDI A4 2014,2014,Casablanca,Particulier,Première,130.000 km,Diesel,Automatique,8 cv ,143 ch ,215.000 DH
DACIA Sandero 2011,2011,Rabat,Particulier,Première,138.900 km,Diesel,Manuelle,6 cv ,85 ch ,69.000 DH
RENAULT Mégane 2022,2022,Tanger,Particulier,Première,11.900 km,Diesel,Manuelle,6 cv ,115 ch ,236.000 DH
BMW Série 5 2015,2015,Rabat,Particulier,Seconde,194.000 km,Diesel,Automatique,8 cv ,190 ch ,210.000 DH
LAND ROVER Freelander 2011,2011,Casablanca,Particulier,Seconde,207.000 km,Diesel,Automatique,8 cv ,- ,117.000 DH
VOLKSWAGEN Golf 2020,2020,Kénitra,Particulier,Première,96.000 km,Diesel,Automatique,8 cv ,150 ch ,250.000 DH
RENAULT Mégane 2009,2009,Tanger,Particulier,Seconde,200.000 km,Diesel,Manuelle,6 cv ,105 ch ,85.000 DH
CITROEN C4 2017,2017,Casablanca,Particulier,Première,69.000 km,Diesel,Manuelle,6 cv ,110 ch ,135.000 DH
MERCEDES Classe C 2023,2023,Fès,Particulier,Première,6.000 km,Diesel,Automatique,11 cv ,200 ch ,650.000 DH
BMW Série 3 2009,2009,Casablanca,Particulier,Seconde,200.000 km,Diesel,Automatique,8 cv ,150 ch ,113.000 DH
FORD Mondeo 2007,2007,Agadir,Particulier,Seconde,231.000 km,Diesel,Manuelle,8 cv ,115 ch ,50.000 DH
VOLKSWAGEN CC 2011,2011,Kénitra,Particulier,Seconde,280.000 km,Diesel,Manuelle,8 cv ,140 ch ,115.000 DH
BMW Série 3 2015,2015,Kénitra,Particulier,Seconde,187.000 km,Diesel,Automatique,8 cv ,116 ch ,215.000 DH
NISSAN Tiida 2010,2010,Kénitra,Particulier,Seconde,138.000 km,Essence,Manuelle,- ,- ,58.000 DH
FIAT Doblo 2016,2016,Casablanca,Particulier,Seconde,168.000 km,Diesel,Manuelle,6 cv ,90 ch ,85.000 DH
OPEL Grandland 2019,2019,Tétouan,Particulier,Première,96.000 km,Diesel,Manuelle,6 cv ,130 ch ,220.000 DH
AUDI A4 2015,2015,Casablanca,Particulier,Seconde,102.000 km,Diesel,Automatique,8 cv ,150 ch ,175.000 DH
BMW Série 2 Coupé 2017,2017,Casablanca,Particulier,Seconde,120.000 km,Diesel,Automatique,8 cv ,150 ch ,290.000 DH
RENAULT Mégane Sedan 2021,2021,Marrakech,Particulier,Première,32.600 km,Diesel,Automatique,6 cv ,115 ch ,220.000 DH
HYUNDAI Elantra 2018,2018,Temara,Particulier,Première,63.000 km,Diesel,Manuelle,6 cv ,136 ch ,160.000 DH
BMW X5 2019,2019,Rabat,Particulier,Seconde,130.000 km,Diesel,Automatique,8 cv ,231 ch ,380.000 DH
MAHINDRA KUV 100 2022,2022,Marrakech,Particulier,Première,24.900 km,Essence,Manuelle,7 cv ,80 ch ,94.000 DH
MERCEDES Classe M 2023,2023,Agadir,Particulier,Seconde,315.000 km,Diesel,Automatique,12 cv ,300 ch ,95.000 DH
OPEL Astra 2014,2014,Casablanca,Particulier,Première,158.000 km,Diesel,Manuelle,7 cv ,130 ch ,125.000 DH
MERCEDES Classe A 2017,2017,Casablanca,Particulier,Seconde,138.000 km,Diesel,Automatique,9 cv ,150 ch ,258.000 DH
VOLKSWAGEN Touran 2014,2014,Casablanca,Particulier,Seconde,216.000 km,Diesel,Automatique,6 cv ,110 ch ,160.009 DH
HYUNDAI i30 2012,2012,Casablanca,Particulier,Première,140.000 km,Diesel,Manuelle,6 cv ,127 ch ,115.000 DH
VOLKSWAGEN Tiguan 2021,2021,Rabat,Particulier,Première,84.000 km,Diesel,Automatique,- ,- ,450.000 DH
FORD Mondeo 2012,2012,Marrakech,Particulier,Première,360.000 km,Diesel,Manuelle,8 cv ,150 ch ,115.000 DH
VOLKSWAGEN Tiguan 2019,2019,Casablanca,Particulier,Seconde,190.000 km,Diesel,Automatique,8 cv ,150 ch ,350.000 DH
VOLKSWAGEN Golf 2021,2021,Tanger,Particulier,Première,40.000 km,Essence,Manuelle,12 cv ,320 ch ,590.000 DH
AUDI A6 2016,2016,Kénitra,Particulier,Seconde,112.000 km,Diesel,Automatique,8 cv ,190 ch ,285.000 DH
SEAT Leon 2019,2019,Casablanca,Particulier,Première,25.000 km,Diesel,Manuelle,8 cv ,143 ch ,228.000 DH
MERCEDES Classe C 2015,2015,Fès,Particulier,Seconde,225.000 km,Diesel,Automatique,9 cv ,204 ch ,300.000 DH
SKODA Kodiaq 2019,2019,Agadir,Particulier,Seconde,32.000 km,Diesel,Automatique,8 cv ,150 ch ,295.000 DH
FORD C-Max 2018,2018,Casablanca,Particulier,Première,98.000 km,Diesel,Manuelle,6 cv ,95 ch ,153.000 DH
VOLKSWAGEN Tiguan 2017,2017,Casablanca,Particulier,Première,200.000 km,Diesel,Automatique,8 cv ,150 ch ,220.000 DH
MERCEDES Classe C 2008,2008,Casablanca,Particulier,Seconde,238.000 km,Diesel,Manuelle,9 cv ,170 ch ,110.000 DH
NISSAN Qashqai 2013,2013,Marrakech,Particulier,Seconde,100.633 km,Diesel,Manuelle,6 cv ,110 ch ,127.000 DH
SUZUKI Grand Vitara 2012,2012,Fès,Particulier,Seconde,196.000 km,Diesel,Manuelle,7 cv ,129 ch ,97.000 DH
PEUGEOT 306 2001,2001,Rabat,Particulier,Seconde,177.200 km,Diesel,Manuelle,7 cv ,- ,56.000 DH
ALFA ROMEO Giulietta 2018,2018,Casablanca,Particulier,Première,53.700 km,Diesel,Automatique,6 cv ,120 ch ,190.000 DH
RENAULT Clio 2017,2017,Salé,Particulier,Seconde,77.000 km,Diesel,Automatique,6 cv ,90 ch ,115.000 DH
MERCEDES Classe E 2017,2017,Marrakech,Particulier,Seconde,150.000 km,Diesel,Automatique,8 cv ,170 ch ,320.000 DH
DACIA Sandero 2023,2023,Casablanca,Particulier,Première,11.000 km,Diesel,Manuelle,6 cv ,102 ch ,169.000 DH
HYUNDAI Accent 2020,2020,Berkane,Particulier,Première,48.000 km,Diesel,Automatique,6 cv ,128 ch ,145.000 DH
AUDI A6 2018,2018,Casablanca,Particulier,Seconde,155.000 km,Diesel,Automatique,8 cv ,190 ch ,295.000 DH
FORD Focus 2022,2022,Agadir,Particulier,Première,14.800 km,Diesel,Automatique,6 cv ,120 ch ,228.000 DH
FIAT 500 2018,2018,Casablanca,Particulier,Première,51.000 km,Essence,Manuelle,7 cv ,69 ch ,125.000 DH
DACIA Duster 2017,2017,Marrakech,Particulier,Première,116.000 km,Diesel,Manuelle,6 cv ,85 ch ,120.000 DH
NISSAN Qashqai 2022,2022,Casablanca,Particulier,Première,7.000 km,Essence,Automatique,7 cv ,150 ch ,250.000 DH
HYUNDAI Creta 2017,2017,Casablanca,Particulier,Première,109.000 km,Diesel,Manuelle,6 cv ,- ,158.000 DH
MITSUBISHI Pajero Sport 2013,2013,Rabat,Particulier,Seconde,210.000 km,Diesel,Automatique,- ,- ,125.000 DH
FORD Fusion 2010,2010,Agadir,Particulier,Première,143.000 km,Essence,Automatique,- ,- ,60.000 DH
AUDI A6 2018,2018,Casablanca,Particulier,Seconde,155.000 km,Diesel,Automatique,9 cv ,190 ch ,255.000 DH
NISSAN Juke 2017,2017,Casablanca,Particulier,Première,94.000 km,Diesel,Manuelle,6 cv ,110 ch ,140.000 DH
VOLKSWAGEN Jetta 2017,2017,Casablanca,Particulier,Première,160.000 km,Diesel,Manuelle,8 cv ,150 ch ,145.000 DH
ALFA ROMEO Stelvio 2019,2019,Casablanca,Particulier,Seconde,78.000 km,,Automatique,9 cv ,180 ch ,320.000 DH
SEAT Ibiza 2015,2015,Oujda,Particulier,Première,138.300 km,Diesel,Manuelle,6 cv ,95 ch ,108.000 DH
FORD Focus 2016,2016,Casablanca,Particulier,Première,60.000 km,Diesel,Manuelle,6 cv ,110 ch ,145.000 DH
FORD Fiesta 2018,2018,Tanger,Particulier,Première,22.000 km,Diesel,Manuelle,6 cv ,85 ch ,135.000 DH
LAND ROVER Discovery Sport 2018,2018,Casablanca,Particulier,Seconde,81.000 km,Diesel,Automatique,8 cv ,200 ch ,283.000 DH
RENAULT Mégane 2010,2010,Temara,Particulier,Première,279.000 km,Diesel,Manuelle,6 cv ,90 ch ,83.000 DH
OPEL Insignia 2019,2019,Rabat,Particulier,Première,147.000 km,Diesel,Automatique,8 cv ,170 ch ,180.000 DH
VOLVO XC40 2018,2018,Mohammadia,Particulier,Première,110.000 km,Diesel,Automatique,8 cv ,190 ch ,297.000 DH
RENAULT Mégane Sedan 2021,2021,Marrakech,Particulier,Première,32.500 km,Diesel,Manuelle,6 cv ,115 ch ,222.000 DH
FIAT Doblo 2012,2012,Salé,Particulier,Première,130.000 km,Diesel,Automatique,6 cv ,90 ch ,78.000 DH
ALFA ROMEO Giulietta 2012,2012,Casablanca,Particulier,Seconde,168.000 km,Diesel,Manuelle,6 cv ,120 ch ,115.000 DH
PEUGEOT 208 2017,2017,Casablanca,Particulier,Première,82.000 km,Diesel,Manuelle,6 cv ,75 ch ,120.000 DH
TOYOTA Corolla Sport 2020,2020,Tanger,Particulier,Seconde,52.000 km,Hybride,Automatique,5 cv ,122 ch ,200.000 DH
FORD Focus 2017,2017,Casablanca,Particulier,Première,155.000 km,Diesel,Manuelle,6 cv ,95 ch ,155.000 DH
FORD C-Max 2020,2020,Rabat,Particulier,Première,79.000 km,Diesel,Manuelle,6 cv ,95 ch ,158.000 DH
ALFA ROMEO Stelvio 2020,2020,Casablanca,Particulier,Première,68.000 km,Diesel,Automatique,9 cv ,190 ch ,330.000 DH
DACIA Logan 2016,2016,Casablanca,Particulier,Première,85.000 km,Diesel,Manuelle,6 cv ,85 ch ,87.000 DH
AUDI A3 Sportback 2021,2021,Casablanca,Particulier,Première,9.000 km,Diesel,Automatique,8 cv ,150 ch ,310.000 DH
AUDI A5 SportBack 2010,2010,Casablanca,Particulier,Seconde,147.000 km,Diesel,Manuelle,8 cv ,150 ch ,160.000 DH
DACIA Duster 2020,2020,Kénitra,Particulier,Première,147.500 km,Diesel,Manuelle,- ,6 ch ,180.000 DH
VOLKSWAGEN Golf 2017,2017,Fès,Particulier,Seconde,143.000 km,Diesel,Automatique,8 cv ,150 ch ,199.000 DH
CITROEN Berlingo 2009,2009,Casablanca,Particulier,Première,305.267 km,Diesel,Automatique,- ,- ,65.000 DH
VOLKSWAGEN Golf 2017,2017,Casablanca,Particulier,Seconde,117.915 km,Diesel,Automatique,8 cv ,170 ch ,340.000 DH
MERCEDES Classe B 2006,2006,Fès,Particulier,Seconde,221.175 km,Diesel,Manuelle,8 cv ,110 ch ,80.000 DH
SKODA Fabia 2019,2019,Casablanca,Particulier,Seconde,120.000 km,Essence,Manuelle,6 cv ,75 ch ,97.000 DH
FORD Focus Sedan 2018,2018,Salé,Particulier,Seconde,76.600 km,Diesel,Manuelle,6 cv ,120 ch ,165.000 DH
HYUNDAI Tucson 2021,2021,Casablanca,Particulier,Première,50.000 km,Diesel,Automatique,6 cv ,136 ch ,325.000 DH
MERCEDES Classe C 2011,2011,Casablanca,Particulier,Seconde,157.000 km,Diesel,Automatique,9 cv ,- ,165.000 DH
AUDI A4 2017,2017,Rabat,Particulier,Première,128.000 km,Diesel,Automatique,8 cv ,150 ch ,255.000 DH
RENAULT Captur 2019,2019,Casablanca,Particulier,Première,90.000 km,Diesel,Manuelle,6 cv ,85 ch ,165.000 DH
AUDI A3 Sportback 2022,2022,Casablanca,Particulier,Seconde,18.500 km,Diesel,Manuelle,8 cv ,200 ch ,620.000 DH
AUDI A4 2016,2016,Casablanca,Particulier,Seconde,170.000 km,Diesel,Manuelle,8 cv ,150 ch ,240.000 DH
MERCEDES Classe E Coupé 2018,2018,Rabat,Particulier,Première,101.000 km,Diesel,Automatique,8 cv ,190 ch ,480.000 DH
MERCEDES GLE 2019,2019,El Jadida,Particulier,Première,61.000 km,Diesel,Automatique,8 cv ,245 ch ,650.000 DH
SEAT Leon 2018,2018,Marrakech,Particulier,Première,87.000 km,Diesel,Manuelle,6 cv ,105 ch ,140.000 DH
SEAT Leon 2018,2018,Marrakech,Particulier,Première,87.000 km,Diesel,Manuelle,6 cv ,- ,140.000 DH
VOLKSWAGEN Golf 2017,2017,Casablanca,Particulier,Première,107.500 km,Diesel,Manuelle,8 cv ,110 ch ,168.000 DH
BMW Série 3 Coupé 2008,2008,Meknès,Particulier,Seconde,209.000 km,Essence,Manuelle,11 cv ,- ,85.000 DH
AUDI A4 2009,2009,Meknès,Particulier,Seconde,223.000 km,Essence,Manuelle,10 cv ,160 ch ,90.000 DH
DACIA Duster 2020,2020,Casablanca,Particulier,Première,36.000 km,Diesel,Automatique,6 cv ,110 ch ,188.000 DH
TOYOTA Yaris 2016,2016,Rabat,Particulier,Seconde,140.000 km,Diesel,Manuelle,5 cv ,90 ch ,97.000 DH
VOLKSWAGEN Golf 2011,2011,Safi,Particulier,Seconde,230.000 km,Diesel,Manuelle,6 cv ,105 ch ,115.000 DH
MERCEDES Classe C 2009,2009,Rabat,Particulier,Seconde,150.000 km,Diesel,Manuelle,8 cv ,- ,175.000 DH
VOLKSWAGEN Touareg 2013,2013,Agadir,Particulier,Première,198.673 km,Diesel,Automatique,12 cv ,245 ch ,165.000 DH
BMW X6 2009,2009,Casablanca,Particulier,Seconde,207.000 km,Diesel,Automatique,12 cv ,- ,110.000 DH
PEUGEOT 508 2014,2014,Fès,Particulier,Seconde,188.000 km,Diesel,Manuelle,6 cv ,112 ch ,105.000 DH
FORD Focus 2009,2009,Casablanca,Professionnel,Seconde,74.000 km,Essence,Manuelle,9 cv ,80 ch ,68.000 DH
MERCEDES Classe E 2010,2010,Tanger,Particulier,Seconde,178.000 km,Diesel,Automatique,8 cv ,- ,180.000 DH
BMW Série 5 2006,2006,Casablanca,Particulier,Seconde,200.000 km,Diesel,Manuelle,10 cv ,- ,73.000 DH
AUDI A4 2018,2018,Casablanca,Particulier,Première,36.400 km,Diesel,Automatique,8 cv ,150 ch ,320.000 DH
TOYOTA Yaris 2012,2012,Casablanca,Particulier,Première,120.000 km,Essence,Manuelle,6 cv ,- ,74.000 DH
FORD Kuga 2016,2016,Mohammadia,Particulier,Première,99.600 km,Diesel,Manuelle,8 cv ,150 ch ,165.000 DH
SUZUKI Jimny 2021,2021,Marrakech,Particulier,Première,14.140 km,Essence,Automatique,8 cv ,102 ch ,210.000 DH
KIA Picanto 2013,2013,Casablanca,Particulier,Première,125.000 km,Essence,Manuelle,6 cv ,69 ch ,35.000 DH
FORD Kuga 2023,2023,Agadir,Particulier,Première,1.300 km,Diesel,Manuelle,6 cv ,120 ch ,280.000 DH
VOLKSWAGEN Polo 2018,2018,Rabat,Particulier,Première,31.000 km,Essence,Automatique,6 cv ,- ,120.000 DH
BMW Série 4 Cabriolet 2014,2014,Casablanca,Professionnel,Seconde,71.000 km,Diesel,Automatique,8 cv ,184 ch ,350.000 DH
HYUNDAI Tucson 2021,2021,Casablanca,Particulier,Première,40.000 km,Diesel,Automatique,6 cv ,136 ch ,330.000 DH
FORD Focus 2006,2006,El Jadida,Particulier,Seconde,200.000 km,Diesel,Manuelle,7 cv ,- ,75.000 DH
JEEP Renegade 2018,2018,Casablanca,Particulier,Première,119.260 km,Diesel,Automatique,6 cv ,140 ch ,195.000 DH
LAND ROVER Range Rover Sport 2008,2008,Marrakech,Particulier,Seconde,260.000 km,Diesel,Manuelle,11 cv ,- ,95.000 DH
OPEL Crossland 2019,2019,Casablanca,Particulier,Première,20.000 km,Diesel,Manuelle,6 cv ,92 ch ,170.000 DH
DS DS5 2017,2017,Casablanca,Particulier,Première,140.000 km,Diesel,Manuelle,6 cv ,170 ch ,195.000 DH
SEAT Ibiza 2021,2021,Rabat,Particulier,Première,24.000 km,Diesel,Automatique,6 cv ,95 ch ,196.000 DH
KIA Sorento 2004,2004,Temara,Particulier,Seconde,365.975 km,Diesel,Automatique,- ,10 ch ,55.000 DH
DACIA Logan 2022,2022,Berkane,Particulier,Seconde,11.066 km,Diesel,Manuelle,6 cv ,95 ch ,170.000 DH
SEAT Leon 2019,2019,Casablanca,Particulier,Première,99.700 km,Diesel,Manuelle,6 cv ,105 ch ,153.000 DH
VOLKSWAGEN CC 2019,2019,Marrakech,Particulier,Première,82.000 km,Diesel,Automatique,8 cv ,184 ch ,255.000 DH
VOLKSWAGEN Touareg 2012,2012,Casablanca,Particulier,Seconde,210.000 km,Diesel,Automatique,12 cv ,259 ch ,155.000 DH
MERCEDES GLA 2016,2016,Marrakech,Particulier,Première,185.000 km,Diesel,Manuelle,6 cv ,109 ch ,220.000 DH
DACIA Logan 2010,2010,Marrakech,Particulier,Seconde,240.000 km,Diesel,Manuelle,6 cv ,85 ch ,53.000 DH
VOLKSWAGEN Gol 2005,2005,Fès,Particulier,Seconde,215.000 km,Essence,Automatique,6 cv ,100 ch ,25.000 DH
BMW Série 4 Gran Coupé 2015,2015,Marrakech,Particulier,Première,152.000 km,Diesel,Automatique,8 cv ,145 ch ,250.000 DH
DACIA Sandero 2018,2018,Meknès,Particulier,Première,32.463 km,Diesel,Manuelle,6 cv ,- ,120.000 DH
MERCEDES Classe C 2012,2012,Marrakech,Particulier,Seconde,140.000 km,Diesel,Manuelle,9 cv ,- ,160.000 DH
FORD Fiesta 2018,2018,El Jadida,Particulier,Seconde,131.000 km,Diesel,Manuelle,6 cv ,85 ch ,105.000 DH
JAGUAR XF 2016,2016,Mohammadia,Particulier,Première,111.000 km,Diesel,Automatique,8 cv ,180 ch ,260.000 DH
VOLKSWAGEN CC 2019,2019,Casablanca,Particulier,Première,50.000 km,Diesel,Manuelle,8 cv ,184 ch ,240.000 DH
SKODA Karoq 2019,2019,Rabat,Particulier,Première,232.000 km,Diesel,Automatique,8 cv ,143 ch ,200.000 DH
HYUNDAI i10 2010,2010,Rabat,Particulier,Seconde,128.000 km,Essence,Manuelle,6 cv ,69 ch ,57.000 DH
MERCEDES Classe B 2014,2014,Kénitra,Particulier,Seconde,90.000 km,Diesel,Manuelle,6 cv ,- ,145.000 DH
FORD Kuga 2021,2021,Casablanca,Particulier,Première,17.000 km,Diesel,Manuelle,6 cv ,120 ch ,270.000 DH
FIAT Freemont 2016,2016,Sidi Kacem,Particulier,Seconde,172.000 km,Diesel,Automatique,- ,- ,160.000 DH
VOLVO XC90 2022,2022,Marrakech,Particulier,Seconde,130.000 km,Diesel,Manuelle,9 cv ,235 ch ,490.000 DH
FORD Kuga 2019,2019,Kénitra,Particulier,Première,58.000 km,Diesel,Automatique,6 cv ,120 ch ,200.000 DH
MERCEDES Classe A 2017,2017,Rabat,Particulier,Seconde,175.000 km,Diesel,Manuelle,- ,- ,255.000 DH
DACIA Dokker 2019,2019,Casablanca,Particulier,Seconde,90.000 km,Diesel,Manuelle,6 cv ,85 ch ,113.000 DH
TOYOTA RAV 4 2017,2017,Tanger,Particulier,Première,145.000 km,Diesel,Automatique,9 cv ,150 ch ,200.000 DH
FORD C-Max 2015,2015,Dakhla,Particulier,Première,67.000 km,Diesel,Manuelle,6 cv ,115 ch ,150.000 DH
TOYOTA Yaris 2021,2021,Tétouan,Particulier,Première,10.500 km,Essence,Manuelle,6 cv ,71 ch ,140.000 DH
FIAT Panda 2018,2018,Casablanca,Particulier,Seconde,122.000 km,Essence,Manuelle,7 cv ,69 ch ,81.000 DH
RENAULT Kangoo 2018,2018,Tétouan,Particulier,Seconde,141.000 km,Diesel,Manuelle,6 cv ,85 ch ,122.000 DH
DACIA Dokker 2018,2018,Tétouan,Particulier,Seconde,142.000 km,Diesel,Automatique,6 cv ,85 ch ,125.000 DH
RENAULT Clio 2017,2017,Rabat,Particulier,Seconde,133.000 km,Diesel,Manuelle,6 cv ,85 ch ,105.000 DH
RENAULT Clio 2016,2016,Casablanca,Particulier,Seconde,77.000 km,Diesel,Manuelle,6 cv ,90 ch ,112.000 DH
NISSAN Micra 2019,2019,Casablanca,Particulier,Première,20.265 km,Diesel,Manuelle,6 cv ,90 ch ,147.000 DH
HYUNDAI i40 2018,2018,Rabat,Particulier,Première,86.000 km,Diesel,Automatique,7 cv ,141 ch ,166.000 DH
RENAULT Mégane 2015,2015,Salé,Particulier,Seconde,112.000 km,Diesel,Automatique,6 cv ,- ,105.000 DH
TOYOTA Verso 2007,2007,Casablanca,Particulier,Seconde,94.000 km,Diesel,Manuelle,9 cv ,136 ch ,88.000 DH
RENAULT Kadjar 2017,2017,Casablanca,Particulier,Seconde,95.000 km,Diesel,Automatique,6 cv ,110 ch ,169.000 DH
JAGUAR XF 2018,2018,Marrakech,Particulier,Première,110.000 km,Diesel,Automatique,8 cv ,180 ch ,300.000 DH
RENAULT Koleos 2014,2014,Rabat,Particulier,Première,260.000 km,Diesel,Manuelle,8 cv ,175 ch ,110.000 DH
RENAULT Mégane 2018,2018,Casablanca,Particulier,Seconde,63.000 km,Diesel,Automatique,6 cv ,110 ch ,166.000 DH
HYUNDAI Tucson 2019,2019,Casablanca,Particulier,Première,106.000 km,Diesel,Automatique,6 cv ,136 ch ,237.000 DH
SEAT Leon 2016,2016,Fès,Particulier,Première,120.000 km,Diesel,Manuelle,6 cv ,105 ch ,159.000 DH
