Name,Year,Location,Vendeur,Owner_type,Kilometers_Driven,Fuel_Type,Transmission,Puissance_fiscale,Puissance_dynamique,Price
HYUNDAI Tucson 2017,2017,Kénitra,Particulier,Première,195.000 km,Diesel,Automatique,7 cv ,141 ch ,195.000 DH
BMW X5 2018,2018,Casablanca,Particulier,Première,197.000 km,Diesel,Automatique,12 cv ,258 ch ,325.000 DH
BMW X5 2016,2016,Rabat,Particulier,Seconde,175.000 km,Diesel,Automatique,8 cv ,230 ch ,247.000 DH
PEUGEOT 301 2019,2019,Sefrou,Particulier,Seconde,200.000 km,Diesel,Manuelle,6 cv ,92 ch ,95.000 DH
FIAT Tipo 2018,2018,Settat,Particulier,Seconde,86.000 km,Essence,Manuelle,8 cv ,110 ch ,78.000 DH
CITROEN C3 2019,2019,Casablanca,Particulier,Première,82.000 km,Diesel,Manuelle,6 cv ,92 ch ,125.000 DH
VOLKSWAGEN Touareg 2016,2016,Casablanca,Particulier,Seconde,164.000 km,Diesel,Automatique,12 cv ,259 ch ,165.000 DH
RENAULT Mégane Sedan 2019,2019,Rabat,Particulier,Première,72.000 km,Diesel,Manuelle,6 cv ,115 ch ,167.000 DH
FORD Kuga 2021,2021,Rabat,Particulier,Première,30.000 km,Diesel,Automatique,8 cv ,190 ch ,376.000 DH
OPEL Astra 2013,2013,Casablanca,Particulier,Première,130.000 km,Diesel,Manuelle,7 cv ,130 ch ,109.000 DH
VOLKSWAGEN Tiguan 2016,2016,Meknès,Particulier,Première,113.000 km,Diesel,Manuelle,8 cv ,140 ch ,185.000 DH
DACIA Sandero 2023,2023,Casablanca,Particulier,Première,12.000 km,Diesel,Manuelle,6 cv ,102 ch ,154.000 DH
JEEP Cherokee 2020,2020,Casablanca,Particulier,Seconde,55.000 km,Diesel,Automatique,9 cv ,200 ch ,330.000 DH
MERCEDES Classe C 2022,2022,Casablanca,Particulier,Première,81.000 km,Diesel,Automatique,- ,- ,695.000 DH
MERCEDES Classe C Cabriolet 2018,2018,Casablanca,Particulier,Seconde,6.000 km,Diesel,Automatique,8 cv ,150 ch ,500.000 DH
PEUGEOT 208 2017,2017,Nador,Particulier,Première,120.000 km,Diesel,Manuelle,6 cv ,92 ch ,118.000 DH
VOLKSWAGEN Golf 2011,2011,Marrakech,Particulier,Seconde,264.000 km,Diesel,Manuelle,6 cv ,105 ch ,128.000 DH
FORD Kuga 2016,2016,Rabat,Particulier,Seconde,102.000 km,Diesel,Manuelle,8 cv ,150 ch ,162.000 DH
MINI Countryman 2017,2017,Casablanca,Particulier,Première,148.000 km,Diesel,Automatique,7 cv ,204 ch ,205.000 DH
LAND ROVER Discovery Sport 2016,2016,Casablanca,Particulier,Première,137.705 km,Diesel,Automatique,8 cv ,180 ch ,240.000 DH
DS DS7 Crossback 2019,2019,Tanger,Particulier,Première,52.000 km,Diesel,Automatique,8 cv ,180 ch ,310.000 DH
HONDA Jazz 2008,2008,Mohammadia,Particulier,Seconde,170.000 km,Essence,Manuelle,8 cv ,80 ch ,60.000 DH
BMW Série 4 Gran Coupé 2017,2017,Rabat,Particulier,Seconde,179.000 km,Diesel,Manuelle,8 cv ,150 ch ,245.000 DH
VOLVO XC60 2017,2017,Fès,Particulier,Première,134.000 km,Diesel,Automatique,8 cv ,191 ch ,250.000 DH
KIA Picanto 2021,2021,Casablanca,Particulier,Seconde,20.128 km,Essence,Automatique,7 cv ,84 ch ,143.000 DH
RENAULT Clio 2017,2017,Casablanca,Particulier,Première,200.000 km,Diesel,Manuelle,6 cv ,85 ch ,90.000 DH
TOYOTA C-HR 2023,2023,Casablanca,Particulier,Première,27.000 km,Hybride,Automatique,11 cv ,122 ch ,250.000 DH
RENAULT Clio 2021,2021,Rabat,Particulier,Première,82.000 km,Diesel,Manuelle,6 cv ,115 ch ,158.000 DH
VOLKSWAGEN Jetta 2017,2017,Casablanca,Particulier,Première,100.000 km,Diesel,Automatique,8 cv ,150 ch ,169.000 DH
VOLKSWAGEN Passat 2018,2018,Casablanca,Particulier,Seconde,159.000 km,Diesel,Manuelle,8 cv ,110 ch ,195.000 DH
DACIA Duster 2019,2019,Casablanca,Particulier,Première,120.000 km,Diesel,Automatique,6 cv ,110 ch ,170.000 DH
HYUNDAI i40 2013,2013,Beni Mellal,Particulier,Seconde,180.000 km,Diesel,Automatique,7 cv ,- ,97.000 DH
BMW Série 5 2019,2019,Rabat,Particulier,Première,82.000 km,Diesel,Manuelle,8 cv ,160 ch ,345.000 DH
FIAT Uno 2000,2000,Casablanca,Particulier,Seconde,140.000 km,Essence,Manuelle,6 cv ,60 ch ,20.000 DH
OPEL Corsa 2021,2021,Tanger,Particulier,Première,45.900 km,Diesel,Manuelle,6 cv ,102 ch ,165.000 DH
BMW Série 5 2018,2018,Casablanca,Particulier,Première,130.000 km,Diesel,Automatique,8 cv ,190 ch ,305.000 DH
SEAT Ibiza 2017,2017,Kénitra,Particulier,Première,74.000 km,Diesel,Manuelle,7 cv ,75 ch ,113.000 DH
FORD Kuga 2019,2019,Kénitra,Particulier,Première,68.000 km,Diesel,Manuelle,6 cv ,130 ch ,200.000 DH
FIAT Punto 2011,2011,Casablanca,Particulier,Seconde,210.000 km,Essence,Manuelle,- ,- ,50.000 DH
CITROEN Berlingo 2012,2012,Ouarzazate,Particulier,Première,100.500 km,Diesel,Manuelle,7 cv ,75 ch ,75.000 DH
HYUNDAI Tucson 2018,2018,Kénitra,Particulier,Première,90.600 km,Diesel,Manuelle,7 cv ,141 ch ,230.000 DH
MERCEDES GLE 2006,2006,Casablanca,Particulier,Seconde,180.000 km,Diesel,Automatique,12 cv ,276 ch ,290.000 DH
CITROEN C3 2020,2020,Rabat,Particulier,Seconde,51.000 km,Diesel,Manuelle,6 cv ,92 ch ,135.000 DH
AUDI A4 2017,2017,Agadir,Particulier,Première,69.000 km,Diesel,Automatique,8 cv ,150 ch ,285.000 DH
KIA Sportage 2012,2012,Tanger,Particulier,Première,148.000 km,Diesel,Manuelle,8 cv ,140 ch ,125.000 DH
AUDI A3 2013,2013,Fès,Particulier,Seconde,141.000 km,Diesel,Manuelle,6 cv ,105 ch ,178.000 DH
OPEL Corsa 2013,2013,Rabat,Particulier,Première,120.000 km,Diesel,Manuelle,5 cv ,- ,78.000 DH
PORSCHE Panamera 2020,2020,Casablanca,Particulier,Première,83.410 km,Hybride,Automatique,17 cv ,462 ch ,890.000 DH
BMW Série 3 2014,2014,Rabat,Particulier,Première,187.000 km,Diesel,Automatique,8 cv ,150 ch ,185.000 DH
PEUGEOT 308 2014,2014,Casablanca,Particulier,Seconde,148.190 km,Diesel,Manuelle,6 cv ,92 ch ,127.000 DH
NISSAN Micra 2017,2017,Safi,Particulier,Première,110.000 km,Diesel,Manuelle,6 cv ,90 ch ,125.000 DH
